应用名称：发歌TV

综合频道,#genre#
CCTV1,http://123.14.86.71:8888/hls/1/index.m3u8
CCTV2,http://123.14.86.71:8888/hls/2/index.m3u8
CCTV3,http://123.14.86.71:8888/hls/3/index.m3u8
CCTV4,http://123.14.86.71:8888/hls/4/index.m3u8
CCTV5,http://123.14.86.71:8888/hls/5/index.m3u8
CCTV6,http://123.14.86.71:8888/hls/6/index.m3u8
CCTV7,http://123.14.86.71:8888/hls/7/index.m3u8
CCTV8,http://123.14.86.71:8888/hls/8/index.m3u8
CCTV9,http://123.14.86.71:8888/hls/9/index.m3u8
CCTV10,http://123.14.86.71:8888/hls/10/index.m3u8
CCTV11,http://123.14.86.71:8888/hls/11/index.m3u8
CCTV12,http://123.14.86.71:8888/hls/12/index.m3u8
CCTV13,http://123.14.86.71:8888/hls/13/index.m3u8
CCTV14,http://123.14.86.71:8888/hls/14/index.m3u8
CCTV15,http://123.14.86.71:8888/hls/15/index.m3u8
CCTV5+,http://123.14.86.71:8888/hls/16/index.m3u8
河南卫视高清,http://123.14.86.71:8888/hls/17/index.m3u8
浙江卫视高清,http://123.14.86.71:8888/hls/18/index.m3u8
东方卫视高清,http://123.14.86.71:8888/hls/19/index.m3u8
天津卫视高清,http://123.14.86.71:8888/hls/20/index.m3u8
安徽卫视高清,http://123.14.86.71:8888/hls/21/index.m3u8
山东卫视高清,http://123.14.86.71:8888/hls/22/index.m3u8
湖北卫视高清,http://123.14.86.71:8888/hls/23/index.m3u8
深圳卫视高清,http://123.14.86.71:8888/hls/24/index.m3u8
黑龙江卫视高清,http://123.14.86.71:8888/hls/25/index.m3u8
北京卫视高清,http://123.14.86.71:8888/hls/26/index.m3u8
湖南卫视高清,http://123.14.86.71:8888/hls/27/index.m3u8
江苏卫视高清,http://123.14.86.71:8888/hls/28/index.m3u8
辽宁卫视高清,http://123.14.86.71:8888/hls/30/index.m3u8
江西卫视,http://123.14.86.71:8888/hls/31/index.m3u8
四川卫视,http://123.14.86.71:8888/hls/32/index.m3u8
云南卫视,http://10.8.8.200:4021/rtp/225.1.4.33:1062
贵州卫视,http://10.8.8.200:4021/rtp/225.1.4.41:1070
东南卫视,http://10.8.8.200:4021/rtp/225.1.4.32:1061
重庆卫视,http://10.8.8.200:4021/rtp/225.1.4.29:1058
广西卫视,http://10.8.8.200:4021/rtp/225.1.4.31:1060
河北卫视,http://10.8.8.200:4021/rtp/225.1.4.34:1063
吉林卫视,http://10.8.8.200:4021/rtp/225.1.4.36:1065
山西卫视,http://10.8.8.200:4021/rtp/225.1.4.38:1067
陕西卫视,http://10.8.8.200:4021/rtp/225.1.4.39:1068
甘肃卫视,http://10.8.8.200:4021/rtp/225.1.4.42:1071
厦门卫视,http://10.8.8.200:4021/rtp/225.1.4.95:1124
BTV动画,http://10.8.8.200:4021/rtp/225.1.4.48:1077
金鹰卡通,http://10.8.8.200:4021/rtp/225.1.4.49:1078
嘉佳卡通,http://10.8.8.200:4021/rtp/225.1.4.92:1121
【公告】,#genre#
CCTV1,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8
CCTV2,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV3,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV4,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV5,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5+,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8
CCTV6,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV7,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV8,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV9,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV10,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV11,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8
CCTV12,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8
CCTV13,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV14,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV16,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CETV1,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225753/index.m3u8
CETV2,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225756/index.m3u8
CETV3,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226226/index.m3u8
电视指南,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226987/index.m3u8
风云足球,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
风云剧场,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226950/index.m3u8
风云音乐,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226953/index.m3u8
央视台球,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
第一剧场,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226959/index.m3u8
兵器科技,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226975/index.m3u8
高尔夫网球,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226978/index.m3u8
CHC高清电影,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC家庭影院,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC动作电影,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
重庆卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226202/index.m3u8
安徽卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226203/index.m3u8
山西卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225763/index.m3u8
东南卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225766/index.m3u8
海南卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8
湖北卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226194/index.m3u8
河北卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225750/index.m3u8
东方卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226217/index.m3u8
哈哈炫动,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226213/index.m3u8
辽宁卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226201/index.m3u8
吉林卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225792/index.m3u8
广西卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225770/index.m3u8
北京卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226222/index.m3u8
云南卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225751/index.m3u8
贵州卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225793/index.m3u8
陕西卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225821/index.m3u8
西藏卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8
兵团卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8
延边卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226220/index.m3u8
农林卫视,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229/index.m3u8
京视剧场,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226242/index.m3u8
奕坦春秋,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226245/index.m3u8
发现之旅,http://39.134.18.195:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226235/index.m3u8
